
> meowsliver@0.1.0 dev
> next dev

▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.41:3000

✓ Starting...
✓ Ready in 1097ms
 GET / 200 in 2.7s (compile: 2.5s, render: 254ms)
 GET /api/savings-goals 200 in 275ms (compile: 197ms, render: 77ms)
 GET /api/savings-goals 200 in 276ms (compile: 196ms, render: 80ms)
 GET /api/accounts 200 in 283ms (compile: 199ms, render: 84ms)
 GET /api/savings-goals 200 in 312ms (compile: 224ms, render: 88ms)
 GET /api/transactions 200 in 307ms (compile: 200ms, render: 106ms)
 GET / 200 in 46ms (compile: 7ms, render: 39ms)
 GET /api/savings-goals 200 in 75ms (compile: 1419µs, render: 73ms)
 GET /api/accounts 200 in 63ms (compile: 25ms, render: 38ms)
 GET /api/savings-goals 200 in 65ms (compile: 29ms, render: 36ms)
 GET /api/transactions 200 in 83ms (compile: 11ms, render: 71ms)
 GET /api/savings-goals 200 in 83ms (compile: 39ms, render: 43ms)
 GET /accounts 200 in 547ms (compile: 534ms, render: 14ms)
 GET /accounts/2 200 in 807ms (compile: 791ms, render: 15ms)
 GET /api/accounts/2 200 in 905ms (compile: 874ms, render: 31ms)
 GET /api/accounts/2 200 in 905ms (compile: 873ms, render: 31ms)
 GET /accounts/2 200 in 97ms (compile: 28ms, render: 69ms)
 GET /api/accounts 200 in 91ms (compile: 37ms, render: 54ms)
 GET /api/transactions 200 in 152ms (compile: 52ms, render: 101ms)
 GET /api/accounts/2 200 in 157ms (compile: 35ms, render: 122ms)
 GET /accounts/2 200 in 79ms (compile: 23ms, render: 57ms)
 GET /api/accounts/2 200 in 38ms (compile: 6ms, render: 32ms)
 GET /api/accounts 200 in 45ms (compile: 6ms, render: 39ms)
 GET /api/transactions 200 in 82ms (compile: 2ms, render: 80ms)
 GET /accounts 200 in 15ms (compile: 5ms, render: 10ms)
 GET /accounts/4 200 in 21ms (compile: 7ms, render: 14ms)
 GET /api/accounts/4 200 in 29ms (compile: 11ms, render: 19ms)
 GET /api/accounts/4 200 in 34ms (compile: 6ms, render: 28ms)
